RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,CHINA_TOUR_INTRST_VALUE,JP_TOUR_INTRST_VALUE,HONGKONG_MACAU_TOUR_INTRST_VALUE,SEASIA_TOUR_INTRST_VALUE,MDLEST_SWASIA_TOUR_INTRST_VALUE,USA_CANADA_TOUR_INTRST_VALUE,SAMRC_LAMRC_TOUR_INTRST_VALUE,WEURP_NEURP_TOUR_INTRST_VALUE,EEURP_TOUR_INTRST_VALUE,SEURP_TOUR_INTRST_VALUE,SPCPC_TOUR_INTRST_VALUE,AFRICA_TOUR_INTRST_VALUE
53335489,20230911,F,60대,서울특별시,700만원 이상,예전과 비슷하다,약간 커졌다,약간 커졌다,예전과 비슷하다,약간 적어졌다,예전과 비슷하다,약간 커졌다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다
53322589,20230911,F,60대,서울특별시,300이상500만원 미만,약간 커졌다,약간 적어졌다,약간 적어졌다,예전과 비슷하다,약간 커졌다,약간 커졌다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 적어졌다,약간 커졌다
53351328,20230911,F,60대,서울특별시,500이상700만원 미만,많이 적어졌다,약간 커졌다,약간 커졌다,약간 커졌다,많이 적어졌다,많이 적어졌다,많이 적어졌다,약간 커졌다,많이 적어졌다,많이 적어졌다,많이 적어졌다,많이 적어졌다
53350406,20230911,F,60대,서울특별시,700만원 이상,약간 적어졌다,많이 적어졌다,예전과 비슷하다,예전과 비슷하다,많이 적어졌다,약간 커졌다,많이 적어졌다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,많이 적어졌다
53324978,20230911,F,60대,서울특별시,300이상500만원 미만,약간 적어졌다,약간 커졌다,약간 커졌다,약간 커졌다,많이 적어졌다,약간 커졌다,약간 커졌다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다
53352855,20230911,F,60대,서울특별시,500이상700만원 미만,많이 적어졌다,많이 적어졌다,많이 적어졌다,예전과 비슷하다,많이 적어졌다,예전과 비슷하다,많이 적어졌다,예전과 비슷하다,예전과 비슷하다,많이 적어졌다,많이 적어졌다,많이 적어졌다
53364566,20230911,F,50대,서울특별시,300만원 미만,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다,약간 커졌다
53325395,20230911,F,50대,서울특별시,500이상700만원 미만,많이 적어졌다,많이 적어졌다,약간 적어졌다,예전과 비슷하다,약간 커졌다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,많이 커졌다,약간 커졌다,많이 커졌다,많이 적어졌다
53338981,20230911,F,50대,서울특별시,700만원 이상,많이 적어졌다,많이 적어졌다,약간 적어졌다,약간 커졌다,많이 적어졌다,많이 커졌다,많이 적어졌다,많이 커졌다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,많이 적어졌다
53344142,20230911,F,50대,서울특별시,700만원 이상,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,약간 커졌다,많이 커졌다,약간 커졌다,약간 커졌다,많이 커졌다,약간 커졌다,예전과 비슷하다
53323228,20230911,F,50대,서울특별시,700만원 이상,약간 적어졌다,약간 적어졌다,예전과 비슷하다,많이 적어졌다,약간 적어졌다,많이 커졌다,약간 적어졌다,예전과 비슷하다,약간 커졌다,약간 커졌다,약간 커졌다,예전과 비슷하다
53365373,20230911,F,50대,부산광역시,300만원 미만,약간 적어졌다,약간 커졌다,약간 커졌다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,약간 커졌다,예전과 비슷하다,약간 커졌다,많이 적어졌다
53375804,20230911,F,50대,부산광역시,500이상700만원 미만,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다,예전과 비슷하다
53337298,20230911,F,50대,부산광역시,700만원 이상,약간 적어졌다,약간 적어졌다,많이 커졌다,약간 커졌다,예전과 비슷하다,약간 커졌다,약간 커졌다,많이 커졌다,많이 적어졌다,많이 커졌다,예전과 비슷하다,예전과 비슷하다
53375758,20230911,F,50대,전라북도,500이상700만원 미만,많이 적어졌다,예전과 비슷하다,예전과 비슷하다,약간 커졌다,많이 적어졌다,많이 적어졌다,많이 적어졌다,많이 적어졌다,많이 적어졌다,많이 적어졌다,많이 적어졌다,많이 적어졌다
